Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
DEACW,Diamond Eagle Acquisition Corp.,0.95,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/deacw,
DHIL,"Diamond Hill Investment Group, Inc.",135.48,465299692.44,,,Finance,Investment Managers,https://old.nasdaq.com/symbol/dhil,
FANG,"Diamondback Energy, Inc.",83.64,13636953572.52,,2012.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/fang,
DPHC,DiamondPeak Holdings Corp.,9.92,347200000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/dphc,
DPHCU,DiamondPeak Holdings Corp.,10.2,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/dphcu,
DPHCW,DiamondPeak Holdings Corp.,0.85,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/dphcw,
DRNA,"Dicerna Pharmaceuticals, Inc.",14.85,1015146757.35,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/drna,
DFFN,Diffusion Pharmaceuticals Inc.,1.78,8354056.2,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dffn,
DGII,Digi International Inc.,13.62,383219783.76,,1989.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/dgii,
DMRC,Digimarc Corporation,38.49,478555638.54,,,Technology,EDP Services,https://old.nasdaq.com/symbol/dmrc,
DRAD,Digirad Corporation,4.04,8251671.72,,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/drad,
DRADP,Digirad Corporation,9.8,0.0,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/dradp,
DGLY,"Digital Ally, Inc.",1.35,15678146.7,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/dgly,
APPS,"Digital Turbine, Inc.",6.415,532501169.74,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/apps,
DCOM,"Dime Community Bancshares, Inc.",21.61,777094605.94,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/dcom,
DIOD,Diodes Incorporated,41.42,2112261030.04,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/diod,
DRTT,DIRTT Environmental Solutions Ltd.,4.51,381912951.64,,,,,https://old.nasdaq.com/symbol/drtt,
DISCA,"Discovery, Inc.",27.97,15037256097.51,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disca,
DISCB,"Discovery, Inc.",33.745,18142016696.835,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/discb,
DISCK,"Discovery, Inc.",26.095,14029216941.885,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disck,
DISH,DISH Network Corporation,34.06,16788210035.48,,1995.0,Consumer Services,Television Services,https://old.nasdaq.com/symbol/dish,
SAUC,"Diversified Restaurant Holdings, Inc.",0.53,17630296.3,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/sauc,
DLHC,DLH Holdings Corp.,4.26,51273918.06,,,Technology,Professional Services,https://old.nasdaq.com/symbol/dlhc,
BOOM,DMC Global Inc.,40.49,593019171.85,,,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/boom,
DNBF,DNB Financial Corp,43.86,190123538.52,,,Finance,Major Banks,https://old.nasdaq.com/symbol/dnbf,
DOCU,"DocuSign, Inc.",66.53,11709280000.0,,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/docu,
DOGZ,Dogness (International) Corporation,1.8728,48531048.1368,,2017.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/dogz,
DLTR,"Dollar Tree, Inc.",115.19,27256802072.75,,1995.0,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dltr,
DLPN,"Dolphin Entertainment, Inc.",0.79,11306115.02,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dlpn,
DLPNW,"Dolphin Entertainment, Inc.",0.069,0.0,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dlpnw,
DOMO,"Domo, Inc.",16.31,448605375.68,,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/domo,
DGICA,"Donegal Group, Inc.",14.2,405737253.2,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/dgica,
DGICB,"Donegal Group, Inc.",12.51,357448805.46,,1986.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/dgicb,
DMLP,"Dorchester Minerals, L.P.",17.92,621461550.08,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dmlp,
DORM,"Dorman Products, Inc.",81.12,2659591315.68,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dorm,
DOYU,DouYu International Holdings Limited,8.53,574812048.3,67387110.0,2019.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/doyu,
DOVA,"Dova Pharmaceuticals, Inc.",28.4,817972909.2,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dova,
LYL,Dragon Victory International Limited,1.4953,17078408.9529,,2017.0,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/lyl,
DBX,"Dropbox, Inc.",19.265,7963868844.81,,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dbx,
DCAR,"DropCar, Inc.",0.5703,2305559.2239,,,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/dcar,
DSPG,"DSP Group, Inc.",14.065,322395918.705,,1994.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/dspg,
DLTH,Duluth Holdings Inc.,9.115,298356919.8,,2015.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dlth,
DNKN,"Dunkin&#39; Brands Group, Inc.",77.7,6427124730.6,,2011.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/dnkn,
DRRX,DURECT Corporation,1.7,326301797.8,,2000.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/drrx,
DXPE,"DXP Enterprises, Inc.",32.6,574000751.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dxpe,
DYAI,"Dyadic International, Inc.",6.5,176222520.5,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dyai,
DYNT,Dynatronics Corporation,0.9701,8419721.9931,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dynt,
DVAX,Dynavax Technologies Corporation,3.93,328861334.97,,2004.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dvax,
ETFC,E*TRADE Financial Corporation,39.48,9467856048.84,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/etfc,
SSP,E.W. Scripps Company (The),13.01,1052157521.84,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/ssp,
EBMT,"Eagle Bancorp Montana, Inc.",16.86,107966263.98,,,Finance,Major Banks,https://old.nasdaq.com/symbol/ebmt,
EGBN,"Eagle Bancorp, Inc.",42.41,1452067338.36,,,Finance,Major Banks,https://old.nasdaq.com/symbol/egbn,
EGLE,Eagle Bulk Shipping Inc.,4.61,337247532.67,,,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/egle,
EFBI,"Eagle Financial Bancorp, Inc.",16.0,26016928.0,,2017.0,Finance,Savings Institutions,https://old.nasdaq.com/symbol/efbi,
EGRX,"Eagle Pharmaceuticals, Inc.",60.05,820696144.0,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/egrx,
IGLE,Eagleline Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/igle,
EWBC,"East West Bancorp, Inc.",42.81,6230851744.02,,,Finance,Major Banks,https://old.nasdaq.com/symbol/ewbc,
EML,Eastern Company (The),25.6,159641600.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eml,
EAST,"Eastside Distilling, Inc.",4.88,46223896.8,,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/east,
EVGBC,Eaton Vance NextShares Trust,99.99,62493750.0,,,,,https://old.nasdaq.com/symbol/evgbc,
EVSTC,Eaton Vance NextShares Trust,99.98,44991000.0,,,,,https://old.nasdaq.com/symbol/evstc,
EVLMC,Eaton Vance NextShares Trust II,99.96,69972000.0,,,,,https://old.nasdaq.com/symbol/evlmc,
EBAY,eBay Inc.,38.55,32334336741.45,,1998.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebay,
EBAYL,eBay Inc.,26.65,0.0,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebayl,
EBIX,"Ebix, Inc.",39.41,1201572238.79,,,Technology,EDP Services,https://old.nasdaq.com/symbol/ebix,
ECHO,"Echo Global Logistics, Inc.",22.37,610306549.79,,2009.0,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/echo,
SATS,EchoStar Corporation,36.43,3548516244.9,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/sats,
EEI,"Ecology and Environment, Inc.",15.14,65549508.12,,1987.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/eei,
EDAP,EDAP TMS S.A.,4.62,135564170.28,29342894.0,1997.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/edap,
EDSA,"Edesa Biotech, Inc.",5.82,43676003.76,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/edsa,
EDNT,"Edison Nation, Inc.",2.12,12749330.2,,2018.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/ednt,
EDIT,"Editas Medicine, Inc.",20.19,999714472.32,,2016.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/edit,
EDTX,EdtechX Holdings Acquisition Corp.,10.2,80643750.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/edtx,
EDTXU,EdtechX Holdings Acquisition Corp.,10.37,81987812.5,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/edtxu,
EDTXW,EdtechX Holdings Acquisition Corp.,0.273,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/edtxw,
EDUC,Educational Development Corporation,7.02,59213692.98,,,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/educ,
EGAN,eGain Corporation,7.42,226545110.12,,1999.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/egan,
EHTH,"eHealth, Inc.",55.98,1276682455.08,,2006.0,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ehth,
EIDX,"Eidos Therapeutics, Inc.",38.58,1444448625.84,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eidx,
EIGR,"Eiger BioPharmaceuticals, Inc.",10.09,246657587.23,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/eigr,
EKSO,"Ekso Bionics Holdings, Inc.",0.5244,39287205.2892,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ekso,
LOCO,"El Pollo Loco Holdings, Inc.",11.63,428421450.82,,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/loco,
ESLT,Elbit Systems Ltd.,164.58,7268198911.74,,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/eslt,
ERI,"Eldorado Resorts, Inc.",42.21,3282595975.26,,,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/eri,
SOLO,Electrameccanica Vehicles Corp. Ltd.,1.71,63201275.1,,,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/solo,
SOLOW,Electrameccanica Vehicles Corp. Ltd.,0.2601,0.0,,,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/solow,
ECOR,"electroCore, Inc.",2.07,61258617.45,,2018.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ecor,
EA,Electronic Arts Inc.,94.19,27758498577.29,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ea,
ELSE,"Electro-Sensors, Inc.",3.8038,12915882.7798,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/else,
ESBK,Elmira Savings Bank NY (The),14.49,50462511.75,,,Finance,Major Banks,https://old.nasdaq.com/symbol/esbk,
ELOX,"Eloxx Pharmaceuticals, Inc.",4.14,165350225.52,,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/elox,
ELTK,Eltek Ltd.,3.2,14016809.6,,1997.0,Technology,Electrical Products,https://old.nasdaq.com/symbol/eltk,
EMCF,Emclaire Financial Corp,30.6,82580587.2,,,Finance,Major Banks,https://old.nasdaq.com/symbol/emcf,
EMKR,EMCORE Corporation,2.89,83116729.46,,1997.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/emkr,
EMMS,Emmis Communications Corporation,4.9499,65022846.6806,,1994.0,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/emms,
NYNY,"Empire Resorts, Inc.",9.73,335061375.11,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/nyny,
ENTA,"Enanta Pharmaceuticals, Inc.",59.03,1161805379.27,,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enta,
ECPG,Encore Capital Group Inc,32.25,1001599731.0,,,Finance,Finance Companies,https://old.nasdaq.com/symbol/ecpg,
WIRE,Encore Wire Corporation,56.99,1191412879.52,,1992.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/wire,
